Questions,17th/18th Century Philosophy,19th Century Philosophy,20th Century Philosophy,Aesthetics,African/Africana Philosophy,Ancient Greek and Roman Philosophy,Applied Ethics,Asian Philosophy,Continental Philosophy,Decision Theory,Epistemology,Feminist Philosophy,General Philosophy of Science,Logic and Philosophy of Logic,Medieval and Renaissance Philosophy,Meta-Ethics,Metaphilosophy,Metaphysics,Normative Ethics,Philosophy of Action,Philosophy of Biology,Philosophy of Cognitive Science,Philosophy of Computing and Information,"Philosophy of Gender, Race, and Sexuality",Philosophy of Language,Philosophy of Law,Philosophy of Mathematics,Philosophy of Mind,Philosophy of Physical Science,Philosophy of Religion,Philosophy of the Americas,Philosophy of Social Science,Social and Political Philosophy
Footbridge,"Accept or lean towards:don't push: 0.5409
","Accept or lean towards:don't push: 0.4494
","Accept or lean towards:don't push: 0.4538
","Accept or lean towards:don't push: 0.4301
","Accept or lean towards:don't push: 0.5714
","Accept or lean towards:don't push: 0.4845
","Accept or lean towards:don't push: 0.6216
","Accept or lean towards:don't push: 0.5556
","Accept or lean towards:don't push: 0.4333
","Accept or lean towards:push: 0.4792
","Accept or lean towards:don't push: 0.5668
","Accept or lean towards:don't push: 0.5185
","Accept or lean towards:don't push: 0.4847
","Accept or lean towards:don't push: 0.5517
","Accept or lean towards:don't push: 0.6531
","Accept or lean towards:don't push: 0.6533
","Accept or lean towards:don't push: 0.5132
","Accept or lean towards:don't push: 0.5625
","Accept or lean towards:don't push: 0.6527
","Accept or lean towards:don't push: 0.6667
","Accept or lean towards:don't push: 0.4493
","Accept or lean towards:don't push: 0.566
","Accept or lean towards:don't push: 0.52
","Accept or lean towards:don't push: 0.5
","Accept or lean towards:don't push: 0.5519
","Accept or lean towards:don't push: 0.6667
","Accept or lean towards:don't push: 0.5
","Accept or lean towards:don't push: 0.5364
",*NA*,"Accept or lean towards:don't push: 0.7143
","Accept or lean towards:don't push: 0.5
","Accept or lean towards:don't push: 0.4561
","Accept or lean towards:don't push: 0.6014
"
Free will,"Accept or lean towards:compatibilism: 0.5671
","Accept or lean towards:compatibilism: 0.6437
","Accept or lean towards:compatibilism: 0.5758
","Accept or lean towards:compatibilism: 0.6304
","Accept or lean towards:compatibilism: 0.4444
","Accept or lean towards:compatibilism: 0.551
","Accept or lean towards:compatibilism: 0.6429
","Accept or lean towards:compatibilism: 0.5405
","Accept or lean towards:compatibilism: 0.4946
","Accept or lean towards:compatibilism: 0.7174
","Accept or lean towards:compatibilism: 0.5746
","Accept or lean towards:compatibilism: 0.6582
","Accept or lean towards:compatibilism: 0.5838
","Accept or lean towards:compatibilism: 0.5616
","Accept or lean towards:libertarianism: 0.54
","Accept or lean towards:compatibilism: 0.6416
","Accept or lean towards:compatibilism: 0.4744
","Accept or lean towards:compatibilism: 0.5297
","Accept or lean towards:compatibilism: 0.6629
","Accept or lean towards:compatibilism: 0.5625
","Accept or lean towards:compatibilism: 0.5882
","Accept or lean towards:compatibilism: 0.679
","Accept or lean towards:compatibilism: 0.68
","Accept or lean towards:compatibilism: 0.6226
","Accept or lean towards:compatibilism: 0.6727
","Accept or lean towards:compatibilism: 0.56
","Accept or lean towards:compatibilism: 0.5833
","Accept or lean towards:compatibilism: 0.6289
","Accept or lean towards:compatibilism: 0.5625
","Accept or lean towards:libertarianism: 0.539
","Accept or lean towards:compatibilism: 0.5714
","Accept or lean towards:compatibilism: 0.6379
","Accept or lean towards:compatibilism: 0.6241
"
Gender,"Accept or lean towards:social: 0.6603
","Accept or lean towards:social: 0.7273
","Accept or lean towards:social: 0.7165
","Accept or lean towards:social: 0.6667
","Accept or lean towards:social: 1.0
","Accept or lean towards:social: 0.6277
","Accept or lean towards:social: 0.6698
","Accept or lean towards:social: 0.6389
","Accept or lean towards:social: 0.6383
","Accept or lean towards:social: 0.6111
","Accept or lean towards:social: 0.6061
","Accept or lean towards:social: 0.8415
","Accept or lean towards:social: 0.5912
","Accept or lean towards:social: 0.5674
","Accept or lean towards:biological: 0.6
","Accept or lean towards:social: 0.6402
","Accept or lean towards:social: 0.6849
","Accept or lean towards:social: 0.5964
","Accept or lean towards:social: 0.6535
","Accept or lean towards:social: 0.6471
","Accept or lean towards:social: 0.5909
","Accept or lean towards:social: 0.6184
","Accept or lean towards:social: 0.5652
","Accept or lean towards:social: 0.8909
","Accept or lean towards:social: 0.6448
","Accept or lean towards:social: 0.625
","Accept or lean towards:social: 0.5833
","Accept or lean towards:social: 0.642
","Accept or lean towards:social: 0.6552
","Accept or lean towards:social: 0.5039
Accept or lean towards:biological: 0.4651
","Accept or lean towards:social: 0.6429
","Accept or lean towards:social: 0.6364
","Accept or lean towards:social: 0.7367
"
God,"Accept or lean towards:atheism: 0.6
","Accept or lean towards:atheism: 0.6629
","Accept or lean towards:atheism: 0.609
","Accept or lean towards:atheism: 0.663
","Accept or lean towards:atheism: 0.375
","Accept or lean towards:atheism: 0.5253
","Accept or lean towards:atheism: 0.6933
","Accept or lean towards:atheism: 0.4722
","Accept or lean towards:atheism: 0.4946
","Accept or lean towards:atheism: 0.8298
","Accept or lean towards:atheism: 0.6799
","Accept or lean towards:atheism: 0.679
","Accept or lean towards:atheism: 0.695
","Accept or lean towards:atheism: 0.6623
","Accept or lean towards:theism: 0.7255
","Accept or lean towards:atheism: 0.7061
","Accept or lean towards:atheism: 0.8182
","Accept or lean towards:atheism: 0.6162
","Accept or lean towards:atheism: 0.6601
","Accept or lean towards:atheism: 0.625
","Accept or lean towards:atheism: 0.6957
","Accept or lean towards:atheism: 0.7531
","Accept or lean towards:atheism: 0.84
","Accept or lean towards:atheism: 0.7593
","Accept or lean towards:atheism: 0.725
","Accept or lean towards:atheism: 0.6078
","Accept or lean towards:atheism: 0.66
","Accept or lean towards:atheism: 0.7386
","Accept or lean towards:atheism: 0.7188
","Accept or lean towards:theism: 0.695
","Accept or lean towards:atheism: 0.5714
","Accept or lean towards:atheism: 0.6724
","Accept or lean towards:atheism: 0.7053
"
Knowledge,"Accept or lean towards:rationalism: 0.4146
Accept or lean towards:empiricism: 0.4024
","Accept or lean towards:rationalism: 0.3556
Accept or lean towards:empiricism: 0.3444
","Accept or lean towards:empiricism: 0.4104
","Accept or lean towards:empiricism: 0.4316
","The question is too unclear to answer: 0.5556
","Accept or lean towards:rationalism: 0.4444
","Accept or lean towards:empiricism: 0.554
","Accept or lean towards:empiricism: 0.5294
","Accept or lean towards:empiricism: 0.3191
Accept or lean towards:rationalism: 0.2872
","Accept or lean towards:empiricism: 0.5556
","Accept or lean towards:empiricism: 0.3975
Accept or lean towards:rationalism: 0.3525
","Accept or lean towards:empiricism: 0.6375
","Accept or lean towards:empiricism: 0.6041
","Accept or lean towards:empiricism: 0.3919
","Accept or lean towards:empiricism: 0.449
","Accept or lean towards:rationalism: 0.4
Accept or lean towards:empiricism: 0.3636
","Accept or lean towards:empiricism: 0.3896
","Accept or lean towards:rationalism: 0.3989
","Accept or lean towards:empiricism: 0.4157
Accept or lean towards:rationalism: 0.3946
","Accept or lean towards:empiricism: 0.3738
","Accept or lean towards:empiricism: 0.7681
","Accept or lean towards:empiricism: 0.675
","Accept or lean towards:empiricism: 0.625
","Accept or lean towards:empiricism: 0.4815
","Accept or lean towards:empiricism: 0.3727
","Accept or lean towards:empiricism: 0.4043
Accept or lean towards:rationalism: 0.383
","Accept or lean towards:empiricism: 0.4167
Accept or lean towards:rationalism: 0.375
","Accept or lean towards:empiricism: 0.4121
","Accept or lean towards:empiricism: 0.7143
","Accept or lean towards:rationalism: 0.5072
","Accept or lean towards:empiricism: 0.5
","Accept or lean towards:empiricism: 0.6842
","Accept or lean towards:empiricism: 0.4925
"
Knowledge claims,"Accept or lean towards:contextualism: 0.4925
","Accept or lean towards:contextualism: 0.6933
","Accept or lean towards:contextualism: 0.6239
","Accept or lean towards:contextualism: 0.6386
","Accept or lean towards:contextualism: 0.5
","Accept or lean towards:contextualism: 0.6486
","Accept or lean towards:contextualism: 0.6488
","Accept or lean towards:contextualism: 0.7097
","Accept or lean towards:contextualism: 0.679
","Accept or lean towards:contextualism: 0.4
","Accept or lean towards:contextualism: 0.4104
Accept or lean towards:invariantism: 0.3714
","Accept or lean towards:contextualism: 0.6667
","Accept or lean towards:contextualism: 0.5412
","Accept or lean towards:contextualism: 0.5414
","Accept or lean towards:contextualism: 0.5588
","Accept or lean towards:contextualism: 0.5167
","Accept or lean towards:contextualism: 0.4058
","Accept or lean towards:contextualism: 0.4523
","Accept or lean towards:contextualism: 0.5774
","Accept or lean towards:contextualism: 0.625
","Accept or lean towards:contextualism: 0.7288
","Accept or lean towards:contextualism: 0.5972
","Accept or lean towards:contextualism: 0.8
","Accept or lean towards:contextualism: 0.7955
","Accept or lean towards:contextualism: 0.5019
","Accept or lean towards:contextualism: 0.575
","Accept or lean towards:contextualism: 0.6316
","Accept or lean towards:contextualism: 0.5113
","Accept or lean towards:contextualism: 0.5918
","Accept or lean towards:contextualism: 0.4696
","Accept or lean towards:contextualism: 0.5714
","Accept or lean towards:contextualism: 0.5741
","Accept or lean towards:contextualism: 0.6479
"
Laws of nature,"Accept or lean towards:non-Humean: 0.5769
","Accept or lean towards:non-Humean: 0.5823
","Accept or lean towards:non-Humean: 0.4672
","Accept or lean towards:non-Humean: 0.4524
","Accept or lean towards:Humean: 0.375
","Accept or lean towards:non-Humean: 0.6022
","Accept or lean towards:non-Humean: 0.4396
","Accept or lean towards:non-Humean: 0.4706
","Accept or lean towards:non-Humean: 0.4557
","Accept or lean towards:non-Humean: 0.55
","Accept or lean towards:non-Humean: 0.5534
","Accept or lean towards:Humean: 0.4375
","Accept or lean towards:non-Humean: 0.5187
","Accept or lean towards:non-Humean: 0.5145
","Accept or lean towards:non-Humean: 0.8182
","Accept or lean towards:non-Humean: 0.6257
","Accept or lean towards:non-Humean: 0.4928
","Accept or lean towards:non-Humean: 0.6685
","Accept or lean towards:non-Humean: 0.5825
","Accept or lean towards:non-Humean: 0.6327
","Accept or lean towards:non-Humean: 0.4308
Accept or lean towards:Humean: 0.4154
","Accept or lean towards:non-Humean: 0.483
","Accept or lean towards:Humean: 0.4583
Accept or lean towards:non-Humean: 0.4583
","Accept or lean towards:Humean: 0.425
Accept or lean towards:non-Humean: 0.375
","Accept or lean towards:non-Humean: 0.5259
","Accept or lean towards:non-Humean: 0.5116
","Accept or lean towards:Humean: 0.413
Accept or lean towards:non-Humean: 0.3696
","Accept or lean towards:non-Humean: 0.5746
","Accept or lean towards:non-Humean: 0.5161
","Accept or lean towards:non-Humean: 0.7803
","Accept or lean towards:Humean: 0.4545
","Accept or lean towards:non-Humean: 0.4
Accept or lean towards:Humean: 0.3818
","Accept or lean towards:non-Humean: 0.4893
"
Logic,"Accept or lean towards:classical: 0.5714
","Accept or lean towards:classical: 0.3714
Accept or lean towards:non-classical: 0.3286
","Accept or lean towards:classical: 0.4649
","Accept or lean towards:classical: 0.4507
Accept or lean towards:non-classical: 0.4225
","Accept or lean towards:non-classical: 0.2857
Agnostic/undecided: 0.2857
","Accept or lean towards:classical: 0.5513
","Accept or lean towards:classical: 0.5417
","Accept or lean towards:non-classical: 0.5
","Accept or lean towards:classical: 0.4462
","Accept or lean towards:classical: 0.6522
","Accept or lean towards:classical: 0.5642
","Accept or lean towards:classical: 0.4423
","Accept or lean towards:classical: 0.5085
","Accept or lean towards:classical: 0.4539
Accept or lean towards:non-classical: 0.4539
","Accept or lean towards:classical: 0.7111
","Accept or lean towards:classical: 0.5731
","Accept or lean towards:classical: 0.5077
","Accept or lean towards:classical: 0.5751
","Accept or lean towards:classical: 0.6036
","Accept or lean towards:classical: 0.5333
","Accept or lean towards:non-classical: 0.3448
Accept or lean towards:classical: 0.3276
","Accept or lean towards:classical: 0.4538
","Accept or lean towards:classical: 0.5455
","Accept or lean towards:classical: 0.4063
","Accept or lean towards:classical: 0.4596
","Accept or lean towards:classical: 0.7143
","Accept or lean towards:classical: 0.6122
","Accept or lean towards:classical: 0.5324
","Accept or lean towards:classical: 0.5484
","Accept or lean towards:classical: 0.7521
","Accept or lean towards:non-classical: 0.3846
","Accept or lean towards:classical: 0.375
Accept or lean towards:non-classical: 0.3333
","Accept or lean towards:classical: 0.5115
"
Meaning of life,"Accept or lean towards:subjective: 0.3742
Accept or lean towards:objective: 0.362
","Accept or lean towards:subjective: 0.3596
","Accept or lean towards:subjective: 0.3534
","Accept or lean towards:objective: 0.3913
","Accept or lean towards:subjective: 0.375
","Accept or lean towards:objective: 0.4845
","Accept or lean towards:subjective: 0.3982
Accept or lean towards:objective: 0.3529
","Accept or lean towards:objective: 0.3824
","Accept or lean towards:subjective: 0.383
","Accept or lean towards:subjective: 0.3409
","Accept or lean towards:objective: 0.3282
Accept or lean towards:subjective: 0.3026
","Accept or lean towards:subjective: 0.475
","Accept or lean towards:subjective: 0.3918
","Accept or lean towards:subjective: 0.2653
Accept or lean towards:objective: 0.2653
Accept or lean towards:nonexistent: 0.2177
","Accept or lean towards:objective: 0.6471
","Accept or lean towards:objective: 0.4083
","Accept or lean towards:subjective: 0.3333
","Accept or lean towards:objective: 0.3733
","Accept or lean towards:objective: 0.4191
","Accept or lean towards:objective: 0.4352
Accept or lean towards:subjective: 0.3981
","Accept or lean towards:subjective: 0.4179
","Accept or lean towards:subjective: 0.4615
","Accept or lean towards:subjective: 0.28
Accept or lean towards:objective: 0.24
The question is too unclear to answer: 0.24
","Accept or lean towards:subjective: 0.3585
","Accept or lean towards:subjective: 0.3053
","Accept or lean towards:objective: 0.4286
","Accept or lean towards:nonexistent: 0.25
Accept or lean towards:subjective: 0.2083
","Accept or lean towards:subjective: 0.3765
","Accept or lean towards:subjective: 0.3906
","Accept or lean towards:objective: 0.7
","Accept or lean towards:subjective: 0.4286
","Accept or lean towards:subjective: 0.4107
","Accept or lean towards:subjective: 0.4049
"
Mental content,"Accept or lean towards:externalism: 0.4545
Accept or lean towards:internalism: 0.4266
","Accept or lean towards:externalism: 0.4028
","Accept or lean towards:externalism: 0.569
","Accept or lean towards:externalism: 0.6386
","Accept or lean towards:externalism: 0.3333
Agnostic/undecided: 0.3333
","Accept or lean towards:externalism: 0.5
","Accept or lean towards:externalism: 0.5244
","Accept or lean towards:externalism: 0.4483
","Accept or lean towards:externalism: 0.4557
","Accept or lean towards:externalism: 0.6216
","Accept or lean towards:externalism: 0.6323
","Accept or lean towards:externalism: 0.5238
","Accept or lean towards:externalism: 0.6074
","Accept or lean towards:externalism: 0.5857
","Accept or lean towards:externalism: 0.5641
","Accept or lean towards:externalism: 0.6421
","Accept or lean towards:externalism: 0.5479
","Accept or lean towards:externalism: 0.6343
","Accept or lean towards:externalism: 0.5
","Accept or lean towards:externalism: 0.6311
","Accept or lean towards:externalism: 0.5741
","Accept or lean towards:externalism: 0.6875
","Accept or lean towards:externalism: 0.6364
","Accept or lean towards:externalism: 0.6
","Accept or lean towards:externalism: 0.6778
","Accept or lean towards:externalism: 0.5143
","Accept or lean towards:externalism: 0.5435
","Accept or lean towards:externalism: 0.6301
","Accept or lean towards:externalism: 0.6296
","Accept or lean towards:externalism: 0.45
Accept or lean towards:internalism: 0.4
","Accept or lean towards:externalism: 0.4545
","Accept or lean towards:externalism: 0.6275
","Accept or lean towards:externalism: 0.5385
"
Meta-ethics,"Accept or lean towards:moral realism: 0.5802
","Accept or lean towards:moral realism: 0.5
","Accept or lean towards:moral realism: 0.5854
","Accept or lean towards:moral realism: 0.6667
","Accept or lean towards:moral realism: 0.375
","Accept or lean towards:moral realism: 0.75
","Accept or lean towards:moral realism: 0.692
","Accept or lean towards:moral realism: 0.4444
","Accept or lean towards:moral realism: 0.4302
","Accept or lean towards:moral anti-realism: 0.4375
","Accept or lean towards:moral realism: 0.6524
","Accept or lean towards:moral realism: 0.6234
","Accept or lean towards:moral realism: 0.4632
","Accept or lean towards:moral realism: 0.6069
","Accept or lean towards:moral realism: 0.7872
","Accept or lean towards:moral realism: 0.6535
","Accept or lean towards:moral realism: 0.5256
","Accept or lean towards:moral realism: 0.7091
","Accept or lean towards:moral realism: 0.6994
","Accept or lean towards:moral realism: 0.6757
","Accept or lean towards:moral anti-realism: 0.4706
","Accept or lean towards:moral realism: 0.575
","Accept or lean towards:moral realism: 0.6
","Accept or lean towards:moral realism: 0.6038
","Accept or lean towards:moral realism: 0.5963
","Accept or lean towards:moral realism: 0.7059
","Accept or lean towards:moral realism: 0.5652
","Accept or lean towards:moral realism: 0.6676
","Accept or lean towards:moral anti-realism: 0.4918
","Accept or lean towards:moral realism: 0.8129
","Accept or lean towards:moral realism: 0.3571
","Accept or lean towards:moral anti-realism: 0.4737
","Accept or lean towards:moral realism: 0.6187
"
Metaphilosophy,"Accept or lean towards:naturalism: 0.474
","Accept or lean towards:non-naturalism: 0.4805
","Accept or lean towards:naturalism: 0.4017
Accept or lean towards:non-naturalism: 0.4017
","Accept or lean towards:naturalism: 0.4941
","Accept or lean towards:naturalism: 0.4
","Accept or lean towards:naturalism: 0.4405
",*NA*,"Accept or lean towards:non-naturalism: 0.3636
Accept or lean towards:naturalism: 0.3333
","Accept or lean towards:non-naturalism: 0.4783
","Accept or lean towards:naturalism: 0.5814
","Accept or lean towards:naturalism: 0.4501
","Accept or lean towards:naturalism: 0.5902
","Accept or lean towards:naturalism: 0.6614
","Accept or lean towards:naturalism: 0.4593
","Accept or lean towards:non-naturalism: 0.6279
","Accept or lean towards:naturalism: 0.4577
","Accept or lean towards:naturalism: 0.5128
","Accept or lean towards:naturalism: 0.4327
Accept or lean towards:non-naturalism: 0.3918
","Accept or lean towards:naturalism: 0.4247
Accept or lean towards:non-naturalism: 0.4041
","Accept or lean towards:naturalism: 0.4375
","Accept or lean towards:naturalism: 0.6912
","Accept or lean towards:naturalism: 0.7961
","Accept or lean towards:naturalism: 0.7143
","Accept or lean towards:naturalism: 0.5581
","Accept or lean towards:naturalism: 0.4806
","Accept or lean towards:non-naturalism: 0.3902
Accept or lean towards:naturalism: 0.3659
","Accept or lean towards:naturalism: 0.617
","Accept or lean towards:naturalism: 0.5732
","Accept or lean towards:naturalism: 0.6949
","Accept or lean towards:non-naturalism: 0.7099
","Accept or lean towards:naturalism: 0.4615
","Accept or lean towards:naturalism: 0.6897
","Accept or lean towards:naturalism: 0.5249
"
Mind,"Accept or lean towards:physicalism: 0.4506
","Accept or lean towards:non-physicalism: 0.3953
Accept or lean towards:physicalism: 0.3721
",*NA*,"Accept or lean towards:physicalism: 0.4839
","Accept or lean towards:physicalism: 0.5
Accept or lean towards:non-physicalism: 0.5
","Accept or lean towards:non-physicalism: 0.4388
Accept or lean towards:physicalism: 0.4286
","Accept or lean towards:physicalism: 0.5256
","Accept or lean towards:non-physicalism: 0.5
","Accept or lean towards:non-physicalism: 0.5465
","Accept or lean towards:physicalism: 0.7907
","Accept or lean towards:physicalism: 0.5
","Accept or lean towards:physicalism: 0.6203
","Accept or lean towards:physicalism: 0.6142
","Accept or lean towards:physicalism: 0.4966
","Accept or lean towards:non-physicalism: 0.58
","Accept or lean towards:physicalism: 0.4727
","Accept or lean towards:physicalism: 0.5658
","Accept or lean towards:physicalism: 0.469
","Accept or lean towards:physicalism: 0.4927
","Accept or lean towards:physicalism: 0.4107
Accept or lean towards:non-physicalism: 0.3839
","Accept or lean towards:physicalism: 0.7059
","Accept or lean towards:physicalism: 0.7593
","Accept or lean towards:physicalism: 0.64
","Accept or lean towards:physicalism: 0.58
","Accept or lean towards:physicalism: 0.574
","Accept or lean towards:physicalism: 0.4286
Accept or lean towards:non-physicalism: 0.4082
","Accept or lean towards:physicalism: 0.6531
",*NA*,"Accept or lean towards:physicalism: 0.7846
","Accept or lean towards:non-physicalism: 0.6214
","Accept or lean towards:physicalism: 0.3077
Accept or lean towards:non-physicalism: 0.3077
","Accept or lean towards:physicalism: 0.6491
","Accept or lean towards:physicalism: 0.4773
"
Moral judgment,"Accept or lean towards:cognitivism: 0.6494
","Accept or lean towards:cognitivism: 0.6154
","Accept or lean towards:cognitivism: 0.5798
","Accept or lean towards:cognitivism: 0.6404
","Accept or lean towards:cognitivism: 0.4286
","Accept or lean towards:cognitivism: 0.7895
","Accept or lean towards:cognitivism: 0.7655
","Accept or lean towards:cognitivism: 0.4722
","Accept or lean towards:cognitivism: 0.4268
","Accept or lean towards:cognitivism: 0.6087
","Accept or lean towards:cognitivism: 0.75
","Accept or lean towards:cognitivism: 0.6269
","Accept or lean towards:cognitivism: 0.5808
","Accept or lean towards:cognitivism: 0.6154
","Accept or lean towards:cognitivism: 0.7111
","Accept or lean towards:cognitivism: 0.7753
","Accept or lean towards:cognitivism: 0.7162
","Accept or lean towards:cognitivism: 0.764
","Accept or lean towards:cognitivism: 0.8034
","Accept or lean towards:cognitivism: 0.7315
","Accept or lean towards:non-cognitivism: 0.5082
","Accept or lean towards:cognitivism: 0.6414
","Accept or lean towards:cognitivism: 0.6667
","Accept or lean towards:cognitivism: 0.5957
","Accept or lean towards:cognitivism: 0.6437
","Accept or lean towards:cognitivism: 0.8431
","Accept or lean towards:cognitivism: 0.625
","Accept or lean towards:cognitivism: 0.7309
","Accept or lean towards:cognitivism: 0.5102
","Accept or lean towards:cognitivism: 0.8623
","Accept or lean towards:cognitivism: 0.3846
Accept or lean towards:non-cognitivism: 0.3846
","Accept or lean towards:cognitivism: 0.4909
","Accept or lean towards:cognitivism: 0.708
"
Moral motivation,"Accept or lean towards:internalism: 0.5507
","Accept or lean towards:internalism: 0.3699
","Accept or lean towards:internalism: 0.3929
","Accept or lean towards:externalism: 0.4722
","Accept or lean towards:internalism: 0.4
Accept or lean towards:externalism: 0.4
","Accept or lean towards:internalism: 0.4419
","Accept or lean towards:internalism: 0.4952
","Accept or lean towards:internalism: 0.4828
","Accept or lean towards:internalism: 0.3846
Accept or lean towards:externalism: 0.359
","Accept or lean towards:externalism: 0.525
","Accept or lean towards:externalism: 0.4281
","Accept or lean towards:internalism: 0.45
","Accept or lean towards:internalism: 0.3712
","Accept or lean towards:internalism: 0.4038
Accept or lean towards:externalism: 0.3558
","Accept or lean towards:internalism: 0.4884
","Accept or lean towards:externalism: 0.448
Accept or lean towards:internalism: 0.4118
","Accept or lean towards:externalism: 0.3871
Accept or lean towards:internalism: 0.371
","Accept or lean towards:internalism: 0.4021
Accept or lean towards:externalism: 0.3737
","Accept or lean towards:externalism: 0.4629
","Accept or lean towards:externalism: 0.4286
Accept or lean towards:internalism: 0.381
","Accept or lean towards:externalism: 0.4118
","Accept or lean towards:externalism: 0.4762
","Accept or lean towards:internalism: 0.4211
","Accept or lean towards:externalism: 0.3556
","Accept or lean towards:externalism: 0.4387
","Accept or lean towards:internalism: 0.4706
Accept or lean towards:externalism: 0.4706
","Accept or lean towards:internalism: 0.4333
","Accept or lean towards:internalism: 0.4351
Accept or lean towards:externalism: 0.4105
","Accept or lean towards:externalism: 0.3784
","Accept or lean towards:internalism: 0.5047
","Accept or lean towards:internalism: 0.3333
Agnostic/undecided: 0.3333
","Accept or lean towards:externalism: 0.4694
","Accept or lean towards:externalism: 0.4444
Accept or lean towards:internalism: 0.4176
"
Newcomb's problem,"Accept or lean towards:two boxes: 0.3068
Accept or lean towards:one box: 0.2955
Agnostic/undecided: 0.2841
","Agnostic/undecided: 0.3571
","Accept or lean towards:two boxes: 0.3485
","Accept or lean towards:one box: 0.3333
Agnostic/undecided: 0.2889
",*NA*,"Accept or lean towards:one box: 0.3721
","Accept or lean towards:two boxes: 0.4109
","Accept or lean towards:two boxes: 0.4667
","Agnostic/undecided: 0.3043
Accept or lean towards:two boxes: 0.2609
","Accept or lean towards:two boxes: 0.7292
","Accept or lean towards:two boxes: 0.4191
","Accept or lean towards:two boxes: 0.3333
Accept or lean towards:one box: 0.3056
","Accept or lean towards:one box: 0.3662
Accept or lean towards:two boxes: 0.3521
","Accept or lean towards:two boxes: 0.4261
","Agnostic/undecided: 0.375
","Accept or lean towards:two boxes: 0.451
","Accept or lean towards:two boxes: 0.3585
Accept or lean towards:one box: 0.3208
","Accept or lean towards:two boxes: 0.368
Accept or lean towards:one box: 0.3643
","Accept or lean towards:two boxes: 0.4159
","Accept or lean towards:two boxes: 0.4487
","Accept or lean towards:two boxes: 0.4186
","Accept or lean towards:two boxes: 0.3878
","Accept or lean towards:two boxes: 0.5
","Accept or lean towards:two boxes: 0.4615
","Accept or lean towards:two boxes: 0.43
","Accept or lean towards:two boxes: 0.4667
","Accept or lean towards:two boxes: 0.4
","Accept or lean towards:two boxes: 0.4043
","Accept or lean towards:one box: 0.4082
","Accept or lean towards:two boxes: 0.3649
Accept or lean towards:one box: 0.3243
","Accept or lean towards:one box: 0.4
","Accept or lean towards:two boxes: 0.5366
","Accept or lean towards:two boxes: 0.4266
"
Normative ethics,"Accept or lean towards:deontology: 0.3865
Accept or lean towards:virtue ethics: 0.3865
","Accept or lean towards:virtue ethics: 0.4318
","Accept or lean towards:virtue ethics: 0.5113
","Accept or lean towards:virtue ethics: 0.3871
","Accept or lean towards:virtue ethics: 0.4444
","Accept or lean towards:virtue ethics: 0.6667
","Accept or lean towards:deontology: 0.4241
Accept or lean towards:virtue ethics: 0.3973
","Accept or lean towards:virtue ethics: 0.5278
","Accept or lean towards:virtue ethics: 0.4681
","Accept or lean towards:consequentialism: 0.617
","Accept or lean towards:consequentialism: 0.3258
Accept or lean towards:deontology: 0.2932
Accept or lean towards:virtue ethics: 0.2982
","Accept or lean towards:deontology: 0.3827
Accept or lean towards:virtue ethics: 0.3704
","Accept or lean towards:consequentialism: 0.4817
","Accept or lean towards:consequentialism: 0.3592
","Accept or lean towards:virtue ethics: 0.7059
","Accept or lean towards:deontology: 0.4141
","Accept or lean towards:virtue ethics: 0.3467
","Accept or lean towards:virtue ethics: 0.3388
Accept or lean towards:deontology: 0.292
","Accept or lean towards:deontology: 0.4106
Accept or lean towards:virtue ethics: 0.3799
","Accept or lean towards:virtue ethics: 0.4234
","Accept or lean towards:consequentialism: 0.4118
","Accept or lean towards:consequentialism: 0.4906
","Accept or lean towards:consequentialism: 0.4167
Accept or lean towards:virtue ethics: 0.4167
","Accept or lean towards:virtue ethics: 0.4727
","Accept or lean towards:virtue ethics: 0.3271
Accept or lean towards:deontology: 0.2895
Accept or lean towards:consequentialism: 0.3158
","Accept or lean towards:deontology: 0.5882
","Accept or lean towards:virtue ethics: 0.3333
Accept or lean towards:deontology: 0.2889
Accept or lean towards:consequentialism: 0.2889
","Accept or lean towards:consequentialism: 0.3372
Accept or lean towards:deontology: 0.3081
Accept or lean towards:virtue ethics: 0.3285
","Accept or lean towards:consequentialism: 0.4407
","Accept or lean towards:virtue ethics: 0.539
","Accept or lean towards:consequentialism: 0.3571
","Accept or lean towards:consequentialism: 0.4407
","Accept or lean towards:deontology: 0.4877
"
