Artist,Songs,Popularity,Link,Genre,Genres
Camp Rock,29,1.6,/camp-rock/,Pop,Pop; Trilha Sonora; Rock; Pop/Rock; Dance; Romântico; Instrumental; J-Pop/J-Rock; Axé; Hip Hop; Electronica; Rock Alternativo; Infantil; Jazz; Black Music; Hard Rock; Funk; Pop/Punk; Jovem Guarda; Gospel/Religioso; R&B; Indie; Blues; Gótico; Folk; Trance; Velha Guarda; K-Pop/K-Rock; House; Piano Rock; Punk Rock; Post-Rock; Disco; Heavy Metal; Rockabilly; Bossa Nova; Sertanejo; Country; Reggae; Emocore; Funk Carioca; Clássico
Carbona,125,0.1,/carbona/,Rock,Rock; Punk Rock; Pop/Punk; Hardcore; Hard Rock
Carioca,2,0,/carioca/,Rock,Rock; Rap
Cascadura,76,0,/dr-cascadura/,Rock,Rock
Cássia Eller,141,7.5,/cassia-eller/,Rock,Rock; MPB; Pop/Rock; Pop; Romântico; Samba; Country; Classic Rock; Pagode; Gospel/Religioso; Black Music; Hip Hop; Funk; Reggae; Blues; Axé; Sertanejo; Punk Rock; Bossa Nova; Dance; Jazz
Castello do Rei,10,0,/castello-do-rei/,Rock,Rock; Rock Alternativo; Gospel/Religioso
Chantal Kreviazuk,73,0.6,/chantal-kreviazuk/,Rock,Rock; Romântico; Folk; Pop/Rock; Surf Music; Power-Pop; Indie; Classic Rock; Gospel/Religioso; Punk Rock
Charge,7,0,/charge/,Rock,Rock
Chris Cornell,78,1.2,/chris-cornell/,Rock,Rock; Grunge; Rock Alternativo; Pop/Rock; Hard Rock; Clássico
Chris Isaak,142,2.1,/chris-isaak/,Rock,Rock; Romântico; Soft Rock; Blues; Clássico; New Age; Pop/Rock; Rockabilly; MPB; Gótico
Chris Richardson,4,0,/chris-richardson/,Rock,Rock; R&B; Pop; Clássico
Cinema Bizarre,40,0.1,/cinema-bizarre/,Rock,Rock; Pop/Rock; Gótico; Emocore; Rock Alternativo; Pop/Punk; Electronica; Hard Rock; Hardcore; Power-Pop; Axé; New Wave; Heavy Metal; Pop; Punk Rock; J-Pop/J-Rock
Claudio Henrique,8,0,/claudio-henrique-seven-music/,Rock,Rock
Cleiton Sabino,2,0,/cleiton-sabino/,Rock,Rock; Blues; Country
Cliff Richard,275,0,/cliff-richard-and-the-shadows/,Rock,Rock
Coheed And Cambria,109,0.1,/coheed-and-cambria/,Rock,Rock; Progressivo; Heavy Metal; Hard Rock; Hardcore; Rock Alternativo; Pós-Punk
Comunidade Zen,13,0,/comunidade-zen/,Rock,Rock; Reggae; Pop/Rock
Coppala,5,0,/coppala/,Rock,Rock
Crazy Horse,1,0,/crazy-horse-11/,Rock,NA
Cream,61,0.2,/cream/,Rock,Rock; Blues; Hard Rock; Psicodelia; Folk
Creedence Clearwater Revival,67,5.2,/creedence-clearwater-revival/,Rock,Rock; Country; Clássico; Blues; Classic Rock; J-Pop/J-Rock; Rock Alternativo; Folk; Black Music; Axé; Grunge; Pop/Punk; Surf Music; Hardcore; Psicodelia; Dance
Crowded House,92,1,/crowded-house/,Pop,Pop; Rock; Pop/Rock
Dan Auerbach,23,0.1,/dan-auerbach/,Rock,Rock; Indie; Blues
Danko Jones,69,0,/danko-jones/,Rock,Rock; Hard Rock; Punk Rock
Danni Carlos,64,0.8,/danni-carlos/,Pop,Pop; Rock; Pop/Rock; Romântico; MPB; Rock Alternativo; Trilha Sonora; Soft Rock; Post-Rock; Dance; Psicodelia; Instrumental; Axé
Daughtry,78,1.4,/daughtry/,Rock,Rock; Pop/Rock; Rock Alternativo; Romântico; Grunge; Pós-Punk; Indie; Post-Rock; Reggae; Gospel/Religioso; J-Pop/J-Rock; Clássico
David Bowie,458,8.1,/david-bowie/,Rock,Rock; Pop/Rock; Folk; Psicodelia; Soul Music; Rock Alternativo; Indie; Clássico; Axé; Blues; Post-Rock; New Wave; Classic Rock; Bossa Nova; Soft Rock; Pop; Disco; Romântico; Forró; Funk Carioca; Progressivo; Gótico; Pós-Punk
Deftones,142,0.7,/deftones/,Rock,Rock; Heavy Metal; Hardcore; Rock Alternativo; Hard Rock; Post-Rock
Desprezo in Cadência,1,0,/desprezo-in-cadencia/,Rock,Rock; Rock Alternativo
Didáticos,8,0,/didaticos/,Rock,Rock
Dido,89,2.4,/dido/,Rock,Rock; Pop; Romântico; Pop/Rock; Industrial; Disco; Sertanejo; Soul Music; Trip-Hop
Diego Perin,4,0,/diego-perin/,Rock,Rock
Dirty Pretty Things,29,0,/dirty-pretty-things/,Rock,Rock; Indie
Disturbed,126,2.9,/disturbed/,Rock,Rock; Hard Rock; Heavy Metal; Forró; Surf Music; Metal; Psicodelia; Electronica; Gospel/Religioso; Clássico; Pop/Rock; Black Music; Gótico
Dog Eat Dog,44,0,/dog-eat-dog/,Rock,Rock; Punk Rock
Dr. Sin,107,0,/dr-sin/,Rock,Rock
Drake Bell,90,0.3,/drake-bell/,Pop,Pop; Pop/Rock; Rock; Rock Alternativo; Romântico; Trilha Sonora; Rockabilly; Axé; Sertanejo; Funk Carioca; Psicodelia; Indie; J-Pop/J-Rock
Drive,44,0.2,/drive/,Rock,Rock; Emocore; Hardcore; Pop/Rock; Romântico; Hard Rock; Rock Alternativo; Pop/Punk; Punk Rock; Rap; Hip Hop; Bossa Nova; Pagode; Ska; Grunge; Industrial; Funk Carioca; Blues; Electronica; Forró; Funk; J-Pop/J-Rock; Gótico; Samba Enredo; Clássico; Axé
Drop Hope,6,0,/drop-hope/,Rock,Rock; Metal
Dying Kingdom,10,0,/dying-kingdom/,Rock,Rock; Hard Rock; Metal
Eagle-Eye Cherry,54,0.9,/eagle-eye-cherry/,Rock,Rock; Surf Music; Rock Alternativo; Pop/Rock; Reggae; Soul Music; Romântico; Hardcore; Pop; Funk; Gótico; Funk Carioca
Edgar Vidart,7,0,/edgar-vidart/,Rock,Rock; Pop/Rock
Edson Ferreira,2,0,/edson-ferreira/,Rock,Rock; Pop; Gospel/Religioso
Eduardo Araújo,21,0.1,/eduardo-araujo/,Rock,Rock; Country; Jovem Guarda; MPB; Soul Music; Psicodelia; Axé; Jazz; Sertanejo; Blues; Progressivo; Velha Guarda; Tecnopop; Pós-Punk; Heavy Metal
Efêmera,11,0,/efemera/,Rock,Rock; Indie; Rock Alternativo
Electronic,44,0.1,/electronic/,Rock,Rock; Electronica; Dance; Tecnopop; New Wave
Emmerson Nogueira,96,0.9,/emmerson-nogueira/,Rock,Rock; Pop/Rock; Pop; Romântico; MPB; World Music; Soul Music; Clássico; Jazz; Axé; Funk; Rock Alternativo; Reggae; Instrumental; Sertanejo; Hip Hop; Hard Rock; Trilha Sonora
EndeverafteR,11,0,/endeverafter/,Rock,Rock; Hard Rock; Pós-Punk; Pop/Rock
Erasmo Carlos,225,2.3,/erasmo-carlos/,Rock,Rock; Jovem Guarda; Romântico; MPB; Soul Music; Psicodelia; Samba; Dance; Classic Rock; Fado; Forró; Funk; Axé; Bossa Nova
Eric Clapton,425,6.4,/eric-clapton/,Rock,Rock; Blues; Country
Esc,16,0,/esc/,Rock,Rock; Hardcore; Rock Alternativo
Esquerita,1,0,/esquerita/,Rock,Rock; R&B; Rockabilly; Blues
Esteban,55,0.9,/esteban/,Rock,Rock; Emocore; Blues; Indie; Rock Alternativo; Pop/Rock; Folk; MPB; Instrumental; Romântico; Clássico; Regional; Pop; World Music; Samba; Chillout; Gótico; Bossa Nova; Hard Rock; Axé; Hardcore
Evanescence,129,7.9,/evanescence/,Rock,Rock; Rock Alternativo; Gótico; Piano Rock; Hard Rock; Heavy Metal; Romântico; Metal; Pop/Rock; Trilha Sonora; Punk Rock; Classic Rock; Funk Carioca; Funk; Axé; Emocore; Rockabilly; Soft Rock; Clássico; Pop; Forró; Pop/Punk; Hardcore; Dance; Sertanejo; Electronica; Grunge; Gospel/Religioso; Black Music; Folk; R&B; Bossa Nova; Rap; Jazz; Post-Rock; Psicodelia; Reggaeton; Reggae; Instrumental; Infantil; Samba Enredo; Blues; Velha Guarda; Progressivo; New Age
ExPublico,5,0,/expublico/,Rock,Rock
Falling Up,62,0,/falling-up/,Rock,Rock; Gospel/Religioso; Pop/Rock; Rap; Rock Alternativo; Heavy Metal
Fator 7,13,0,/fator-7/,Rock,Rock; Gospel/Religioso; Hardcore
Fide,5,0,/fide/,Rock,Rock
Fincabaute,25,0,/fincabaute/,Rock,Rock; Pop/Rock; Pop
Fiona Apple,65,0.2,/fiona-apple/,Rock,Rock; Indie; Folk; Rock Alternativo; Jazz; Psicodelia; Piano Rock; Post-Rock; Clássico; Blues; Pop; Pós-Punk; Chillout; Progressivo; Soft Rock; Gótico; Axé
Fiuk,29,0.3,/fiuk/,Pop,Pop; Pop/Rock; Romântico; Rock; Trilha Sonora; Rock Alternativo; Funk Carioca; Dance; Axé; Black Music; Gospel/Religioso; J-Pop/J-Rock; Electronica; Emocore; Indie; House; Electro Swing; Rap; Folk; Grunge; Fado; Samba Enredo; K-Pop/K-Rock; World Music; Punk Rock; Gótico; Forró; Pop/Punk; Funk; Clássico; Hip Hop
Five Dons,12,0,/five-dons/,Rock,Rock; Gospel/Religioso
Flyleaf,92,0.3,/flyleaf/,Rock,Rock; Hard Rock; Gospel/Religioso; Rock Alternativo; Heavy Metal; Gótico; Progressivo
Frejat,56,3.5,/frejat/,Rock,Rock; Pop/Rock; Romântico; MPB; Rock Alternativo; Trilha Sonora; Soul Music; World Music; Trip-Hop; Reggae; Sertanejo; Funk Carioca; Fado; K-Pop/K-Rock; Clássico; Samba; Funk; Pop; Bossa Nova; Hard Rock
George Michael,128,5.1,/george-michael/,Pop,Pop; Rock; Romântico; Pop/Rock; Clássico; Dance; Disco; J-Pop/J-Rock; Axé; R&B; Jazz; New Wave
Georgios,10,0,/georgios/,Rock,Rock; Pop; Folk
Gloria,63,0.6,/gloria/,Rock,Rock; Hard Rock; Hardcore; Heavy Metal; Emocore; Punk Rock; Rock Alternativo; Rockabilly; Metal; Post-Rock; Grunge; Axé
Gold n' Soul,4,0,/gold-n-soul/,Rock,Rock; Pop; Blues
Gorillaz,136,2.7,/gorillaz/,Rock,Rock; Hip Hop; Rock Alternativo; Pop/Rock; Electronica; Rap; Indie; Trip-Hop; Black Music; Reggae; J-Pop/J-Rock
Grand Funk Railroad,109,0.2,/grand-funk-railroad/,Rock,Rock; Hard Rock; Funk; Folk; Heavy Metal
Green Day,239,7.4,/green-day/,Rock,Rock; Punk Rock; Rock Alternativo; Hard Rock; Pop/Punk; Pop/Rock; Pós-Punk; Axé; Soft Rock; Gospel/Religioso; Indie; Gótico; Heavy Metal; Pop; Classic Rock; Clássico; New Wave; New Age; Rap; Funk; Samba; Ska; Black Music; Sertanejo; Hardcore; Grunge; Forró; Infantil; Emocore
Greta Van Fleet,20,1.2,/greta-van-fleet/,Rock,Rock; Hard Rock
Gustavo Goulart,14,0,/gustavo-goulart/,Rock,Rock; Pop; Pop/Rock
HaZee,6,0,/hazee/,Rock,Rock
Heart,154,1.6,/heart/,Rock,Rock; Hard Rock; Rock Alternativo; Classic Rock; J-Pop/J-Rock; Electronica; Pop/Rock; Romântico; Pop; Folk
HIM,112,0.4,/him/,Rock,Rock; Heavy Metal; Gótico; Romântico; Hard Rock; Rock Alternativo; Electronica; Axé; Gospel/Religioso
Hinder,45,0.3,/hinder/,Rock,Rock; Hard Rock; Pop/Rock; Rock Alternativo; Romântico; Grunge; Country
Hollywood Rose,11,0,/hollywood-rose/,Rock,Rock; Hard Rock; Heavy Metal; Hardcore
Hollywood Undead,100,0.7,/hollywood-undead/,Rock,Rock; Hardcore; Rap; Rock Alternativo; Punk Rock; Hip Hop; Hard Rock; Heavy Metal; Gospel/Religioso; R&B; Pop/Punk
Hoobastank,122,2.2,/hoobastank/,Rock,Rock; Pop/Rock; Romântico; Rock Alternativo; Punk Rock; Hard Rock; Indie; Grunge; Emocore
Hori,32,0.3,/hori/,Pop,Pop; Emocore; Rock Alternativo; Rock; Pop/Rock; Romântico; Trilha Sonora; World Music; Funk Carioca; Hardcore; Electronica; Axé; Sertanejo; Infantil; Gótico; Punk Rock; J-Pop/J-Rock; Pop/Punk; Pagode; MPB; Forró; Dance; Jazz; Heavy Metal; Post-Rock; Jovem Guarda; Soft Rock; Power-Pop; Hard Rock; Hip Hop; Tecnopop; Trip-Hop; Soul Music; Gospel/Religioso; Black Music; Reggae; Funk; Electro Swing; Velha Guarda; Chillout; Disco; Clássico; Ska; Blues; Samba; Pós-Punk; Industrial; Bossa Nova; Folk; Country; Rap
Hurry-up,20,0,/hurry-up/,Rock,Rock; Pop/Punk
Imagine Dragons,112,61.3,/imagine-dragons/,Rock,Rock; Rock Alternativo; Indie; Pop/Rock; Folk; Electronica; Pop; Romântico; Hard Rock; Forró; Gospel/Religioso; Funk Carioca; Clássico; Hardcore; Gótico; Velha Guarda; Funk; Heavy Metal; Hip Hop; Surf Music; Metal; Dance; Soft Rock; Pop/Punk; Electro Swing; Progressivo; Classic Rock; Psicodelia; Reggae; New Age; Rockabilly; Pagode; Sertanejo; World Music; Emocore; Black Music; Blues; K-Pop/K-Rock; Ska; House; Chillout; Regional; Punk Rock; MPB; R&B; Industrial; Jovem Guarda; Trance; Grunge; Axé
Incerta,5,0,/incerta/,Rock,Rock
Incubus,127,1.9,/incubus/,Rock,Rock; Rock Alternativo; Hard Rock; Indie; Hip Hop; Metal; Piano Rock; Heavy Metal; Grunge; Emocore
Instinto,20,0,/instinto/,Rock,Rock
Interceptör,8,0,/interceptor/,Rock,Rock; Heavy Metal
Intrépida,8,0,/intrepida/,Rock,Rock
Invasores,7,0,/invasores-11/,Rock,NA
Inventores do Nada,1,0,/inventores-do-nada/,Rock,Rock; Indie; Rock Alternativo
INXS,146,1.7,/inxs/,Rock,Rock; Pop/Rock; Pop; New Wave; Romântico; Hard Rock; Classic Rock
Ira!,140,3.4,/ira/,Rock,Rock
Iron Weasel,20,0,/iron-weasel/,Rock,Rock; Hard Rock; Heavy Metal; Rock Alternativo; Punk Rock; Trilha Sonora; Hardcore; Gospel/Religioso; Funk; Electronica; Axé; Pop/Rock
Ivo Gonçalves,45,0.1,/ivo-goncalves/,Rock,Rock; Blues; MPB
Jane's Addiction,59,0.3,/janes-addiction/,Rock,Rock; Hard Rock; Rock Alternativo; Pós-Punk; Punk Rock; Heavy Metal
Janis Joplin,113,4.3,/janis-joplin/,Rock,Rock; Blues; R&B; Jazz; Folk; Psicodelia; Romântico; Soul Music; Classic Rock; Soft Rock; Gótico; Fado; House; Country; Hard Rock
Jars Of Clay,149,0.1,/jars-of-clay/,Rock,Rock; Gospel/Religioso; Rock Alternativo; Folk
Jason Vargas,9,0,/jason-vargas/,Rock,Rock
Jessé Pedra Trio,2,0,/jesse-pedra-trio/,Rock,Rock; Gospel/Religioso; Reggae
Jet,54,2.1,/jet/,Rock,Rock; Indie; Rock Alternativo; Pop/Rock; Soft Rock; Hard Rock
Jimi Hendrix,129,1.8,/jimi-hendrix/,Rock,Rock; Blues; Psicodelia; Hard Rock; Clássico; Rock Alternativo; Heavy Metal; R&B; Classic Rock; Instrumental; Soul Music; Folk; Hardcore; Progressivo; Funk
Jimmy Breedlove,8,0,/jimmy-breedlove/,Rock,Rock; R&B; Rockabilly
Jimmy Eat World,143,0.3,/jimmy-eat-world/,Rock,Rock; Punk Rock; Pop/Rock; Rock Alternativo; Pop/Punk; Emocore; Romântico; Trilha Sonora; Reggae; Axé
Joan Jett & The Blackhearts,179,0,/joan-jett-the-blackhearts/,Rock,Rock
João Cascaio,6,0,/joao-cascaio/,Rock,Rock; Rockabilly; Country
João8,5,0,/joao8/,Rock,Rock
Joe Perry Project,45,0,/joe-perry-project/,Rock,Rock; Hard Rock
John Lennon,134,12.9,/john-lennon/,Rock,Rock; Romântico; Pop/Rock; World Music; Rock Alternativo; Black Music; J-Pop/J-Rock; Blues; Dance; Country; Hard Rock
John People,12,0,/john-people/,Pop,Pop; Rock; Indie
John Tennessee,1,0,/john-tennessee/,Rock,Rock
Johnny Rivers,160,1.6,/johnny-rivers/,Rock,Rock; Pop/Rock; Blues; Romântico; Trilha Sonora; Rockabilly; World Music; Dance; Clássico
Johnny Winter,108,0.1,/johnny-winter/,Rock,Rock; Blues
Juliette Lewis (and The Licks),41,0,/juliette-lewis-and-the-licks/,Rock,Rock
Kedart Alexandro,13,0,/kedart-alexandro/,Rock,Rock; Gótico; Metal
Kiss,276,5.1,/kiss/,Rock,Rock; Hard Rock; Heavy Metal; Clássico; Metal; Classic Rock; Sertanejo; J-Pop/J-Rock; Black Music; Hardcore; Pop/Rock; Emocore; Punk Rock
Krv,7,0,/krv/,Rock,Rock
KT Tunstall,105,0.7,/kt-tunstall/,Rock,Rock; Pop/Rock; Folk; Pop; Rock Alternativo; Blues; Soft Rock; Indie; Post-Rock; Chillout; Country
Lagum,17,3.8,/lagum/,Rock,Rock; Surf Music; Pop/Rock
Lambertos,11,0,/lambertos/,Rock,Rock; Pop/Rock
LARG,2,0,/larg/,Rock,Rock; Rap; Hip Hop
LCsilva,1,0,/lcsilva/,Rock,Rock
Led Zeppelin,95,9.2,/led-zeppelin/,Rock,Rock; Hard Rock; Heavy Metal; Blues; Clássico; Classic Rock; Progressivo; Folk; Country; Rockabilly; Psicodelia; Black Music; Reggaeton; Metal; Trance; World Music; Bossa Nova; Punk Rock; Rock Alternativo; Velha Guarda; Hardcore; Emocore; Axé
Leela,44,0.1,/leela/,Rock,Rock; Pop/Rock; Punk Rock; Emocore; Rock Alternativo; Hard Rock
Legião Urbana,118,27.7,/legiao-urbana/,Rock,Rock; Pop/Rock; MPB; Punk Rock; Pós-Punk; Black Music; Clássico; Funk; Dance; Grunge; Funk Carioca; Heavy Metal; Gospel/Religioso; Electronica; Samba; Romântico; Jazz; Bossa Nova; Gótico; Blues; Axé; Forró; Emocore; Pop; Chillout; Psicodelia; New Age; Disco; Indie; Trilha Sonora; Hardcore; Country; Infantil; Progressivo; New Wave; R&B; Reggae; World Music; Pop/Punk
Lenhadores da Galáxia,12,0,/lenhadores-da-galaxia/,Rock,Rock; Pós-Punk; Punk Rock
Lenny Kravitz,188,3.2,/lenny-kravitz/,Rock,Rock; Pop/Rock; Soul Music; Psicodelia; Funk; Rock Alternativo; Black Music; Blues; R&B; Hard Rock; Trilha Sonora; Folk; Reggae; Hip Hop; Romântico
Liam Gallagher,16,0.2,/liam-gallagher/,Rock,Rock; Rock Alternativo
Lifehouse,146,7.5,/lifehouse/,Rock,Rock; Pop/Rock; Pop; Gospel/Religioso; Romântico; Rock Alternativo; Hardcore; Indie; Funk Carioca; Axé; Tecnopop; Grunge
Like a Boss,5,0,/like-a-boss/,Rock,Rock; Blues
