,index,month,specialty_group,is_new_churner,practice_region,practitioner_id
71,405,2018-03-01,Surgeons,True,Auvergne-Rhône-Alpes,1
72,406,2018-03-01,Surgeons,True,Hauts-de-France,2
73,407,2018-03-01,Surgeons,True,Pays de la Loire,5
74,408,2018-03-01,Surgeons,True,Île-de-France,1
75,434,2018-04-01,Dentists,True,Auvergne-Rhône-Alpes,2
76,435,2018-04-01,Dentists,True,Centre-Val de Loire,1
77,436,2018-04-01,Dentists,True,Grand Est,5
78,437,2018-04-01,Dentists,True,Occitanie,2
79,438,2018-04-01,Dentists,True,Provence-Alpes-Côte d'Azur,3
80,439,2018-04-01,Dentists,True,Île-de-France,8
81,454,2018-04-01,GPs,True,Auvergne-Rhône-Alpes,4
82,455,2018-04-01,GPs,True,Hauts-de-France,2
83,456,2018-04-01,GPs,True,Nouvelle-Aquitaine,2
84,457,2018-04-01,GPs,True,Occitanie,1
85,458,2018-04-01,GPs,True,Pays de la Loire,1
86,459,2018-04-01,GPs,True,Île-de-France,4
87,474,2018-04-01,Gynaecologists,True,Île-de-France,5
88,487,2018-04-01,Midwives,True,Bourgogne-Franche-Comté,2
89,502,2018-04-01,Non-surgical specialists,True,Auvergne-Rhône-Alpes,4
90,503,2018-04-01,Non-surgical specialists,True,Nouvelle-Aquitaine,5
91,504,2018-04-01,Non-surgical specialists,True,Provence-Alpes-Côte d'Azur,2
92,505,2018-04-01,Non-surgical specialists,True,Île-de-France,2
93,526,2018-04-01,Osteopaths,True,Auvergne-Rhône-Alpes,1
94,527,2018-04-01,Osteopaths,True,Hauts-de-France,1
95,528,2018-04-01,Osteopaths,True,Normandie,1
96,529,2018-04-01,Osteopaths,True,Nouvelle-Aquitaine,3
97,530,2018-04-01,Osteopaths,True,Pays de la Loire,1
98,531,2018-04-01,Osteopaths,True,Provence-Alpes-Côte d'Azur,7
99,545,2018-04-01,Other non-doctors,True,Île-de-France,3
100,558,2018-04-01,Pediatricians,True,Provence-Alpes-Côte d'Azur,1
101,571,2018-04-01,Physiotherapists,True,Provence-Alpes-Côte d'Azur,3
102,572,2018-04-01,Physiotherapists,True,Île-de-France,10
103,586,2018-04-01,Psychologists,True,Occitanie,1
104,587,2018-04-01,Psychologists,True,Pays de la Loire,1
105,588,2018-04-01,Psychologists,True,Île-de-France,1
106,607,2018-04-01,Surgeons,True,Auvergne-Rhône-Alpes,1
107,608,2018-04-01,Surgeons,True,Centre-Val de Loire,1
108,609,2018-04-01,Surgeons,True,Nouvelle-Aquitaine,2
109,610,2018-04-01,Surgeons,True,Île-de-France,7
110,636,2018-05-01,Dentists,True,Auvergne-Rhône-Alpes,5
111,637,2018-05-01,Dentists,True,Grand Est,2
112,638,2018-05-01,Dentists,True,Normandie,1
113,639,2018-05-01,Dentists,True,Occitanie,2
114,640,2018-05-01,Dentists,True,Provence-Alpes-Côte d'Azur,4
115,641,2018-05-01,Dentists,True,Île-de-France,12
116,656,2018-05-01,GPs,True,Auvergne-Rhône-Alpes,2
117,657,2018-05-01,GPs,True,Normandie,2
118,658,2018-05-01,GPs,True,Provence-Alpes-Côte d'Azur,9
119,659,2018-05-01,GPs,True,Île-de-France,4
120,674,2018-05-01,Gynaecologists,True,Grand Est,1
121,675,2018-05-01,Gynaecologists,True,Provence-Alpes-Côte d'Azur,2
122,676,2018-05-01,Gynaecologists,True,Île-de-France,2
123,689,2018-05-01,Midwives,True,Bourgogne-Franche-Comté,1
124,704,2018-05-01,Non-surgical specialists,True,Corse,1
125,705,2018-05-01,Non-surgical specialists,True,Grand Est,2
126,706,2018-05-01,Non-surgical specialists,True,Hauts-de-France,1
127,707,2018-05-01,Non-surgical specialists,True,Nouvelle-Aquitaine,1
128,708,2018-05-01,Non-surgical specialists,True,Provence-Alpes-Côte d'Azur,3
129,709,2018-05-01,Non-surgical specialists,True,Île-de-France,2
130,730,2018-05-01,Osteopaths,True,Auvergne-Rhône-Alpes,2
131,731,2018-05-01,Osteopaths,True,Centre-Val de Loire,1
132,732,2018-05-01,Osteopaths,True,Pays de la Loire,1
133,733,2018-05-01,Osteopaths,True,Île-de-France,6
134,747,2018-05-01,Other non-doctors,True,Auvergne-Rhône-Alpes,1
135,748,2018-05-01,Other non-doctors,True,Provence-Alpes-Côte d'Azur,1
136,749,2018-05-01,Other non-doctors,True,Île-de-France,7
137,762,2018-05-01,Pediatricians,True,Île-de-France,1
138,775,2018-05-01,Physiotherapists,True,Bretagne,2
139,776,2018-05-01,Physiotherapists,True,Île-de-France,4
140,790,2018-05-01,Psychologists,True,Normandie,1
141,791,2018-05-01,Psychologists,True,Occitanie,2
142,792,2018-05-01,Psychologists,True,Île-de-France,5
143,811,2018-05-01,Surgeons,True,Centre-Val de Loire,1
144,812,2018-05-01,Surgeons,True,Normandie,4
145,813,2018-05-01,Surgeons,True,Provence-Alpes-Côte d'Azur,2
146,814,2018-05-01,Surgeons,True,Île-de-France,2
147,840,2018-06-01,Dentists,True,Auvergne-Rhône-Alpes,2
148,841,2018-06-01,Dentists,True,Grand Est,3
149,842,2018-06-01,Dentists,True,Nouvelle-Aquitaine,3
150,843,2018-06-01,Dentists,True,Occitanie,2
151,844,2018-06-01,Dentists,True,Pays de la Loire,1
152,845,2018-06-01,Dentists,True,Provence-Alpes-Côte d'Azur,11
153,846,2018-06-01,Dentists,True,Île-de-France,9
154,861,2018-06-01,GPs,True,Bourgogne-Franche-Comté,1
155,862,2018-06-01,GPs,True,Bretagne,6
156,863,2018-06-01,GPs,True,Hauts-de-France,1
157,864,2018-06-01,GPs,True,Normandie,3
158,865,2018-06-01,GPs,True,Nouvelle-Aquitaine,1
159,866,2018-06-01,GPs,True,Occitanie,8
160,867,2018-06-01,GPs,True,Pays de la Loire,2
161,868,2018-06-01,GPs,True,Provence-Alpes-Côte d'Azur,2
162,869,2018-06-01,GPs,True,Île-de-France,7
163,884,2018-06-01,Gynaecologists,True,Auvergne-Rhône-Alpes,1
164,885,2018-06-01,Gynaecologists,True,Grand Est,1
165,886,2018-06-01,Gynaecologists,True,Hauts-de-France,1
166,887,2018-06-01,Gynaecologists,True,Nouvelle-Aquitaine,1
167,888,2018-06-01,Gynaecologists,True,Occitanie,2
168,889,2018-06-01,Gynaecologists,True,Provence-Alpes-Côte d'Azur,4
169,890,2018-06-01,Gynaecologists,True,Île-de-France,4
170,903,2018-06-01,Midwives,True,Auvergne-Rhône-Alpes,1
171,904,2018-06-01,Midwives,True,Pays de la Loire,1
172,905,2018-06-01,Midwives,True,Île-de-France,2
173,920,2018-06-01,Non-surgical specialists,True,Auvergne-Rhône-Alpes,5
174,921,2018-06-01,Non-surgical specialists,True,Bretagne,1
175,922,2018-06-01,Non-surgical specialists,True,Nouvelle-Aquitaine,1
176,923,2018-06-01,Non-surgical specialists,True,Occitanie,7
177,924,2018-06-01,Non-surgical specialists,True,Provence-Alpes-Côte d'Azur,2
178,925,2018-06-01,Non-surgical specialists,True,Île-de-France,6
179,946,2018-06-01,Osteopaths,True,Auvergne-Rhône-Alpes,7
180,947,2018-06-01,Osteopaths,True,Hauts-de-France,4
181,948,2018-06-01,Osteopaths,True,Nouvelle-Aquitaine,1
182,949,2018-06-01,Osteopaths,True,Occitanie,2
183,950,2018-06-01,Osteopaths,True,Île-de-France,2
184,964,2018-06-01,Other non-doctors,True,Nouvelle-Aquitaine,4
185,965,2018-06-01,Other non-doctors,True,Île-de-France,8
186,978,2018-06-01,Pediatricians,True,Île-de-France,1
187,991,2018-06-01,Physiotherapists,True,Île-de-France,7
188,1005,2018-06-01,Psychologists,True,Centre-Val de Loire,1
189,1006,2018-06-01,Psychologists,True,Pays de la Loire,1
190,1007,2018-06-01,Psychologists,True,Île-de-France,10
191,1027,2018-06-01,Surgeons,True,Auvergne-Rhône-Alpes,1
192,1028,2018-06-01,Surgeons,True,Bourgogne-Franche-Comté,1
193,1029,2018-06-01,Surgeons,True,Centre-Val de Loire,1
194,1030,2018-06-01,Surgeons,True,Hauts-de-France,1
195,1031,2018-06-01,Surgeons,True,Nouvelle-Aquitaine,2
196,1032,2018-06-01,Surgeons,True,Occitanie,2
197,1033,2018-06-01,Surgeons,True,Provence-Alpes-Côte d'Azur,1
198,1034,2018-06-01,Surgeons,True,Île-de-France,5
199,1046,2018-07-01,Anesthetists,True,Provence-Alpes-Côte d'Azur,1
200,1047,2018-07-01,Anesthetists,True,Île-de-France,1
201,1062,2018-07-01,Dentists,True,Auvergne-Rhône-Alpes,2
202,1063,2018-07-01,Dentists,True,Hauts-de-France,1
203,1064,2018-07-01,Dentists,True,Occitanie,1
204,1065,2018-07-01,Dentists,True,Provence-Alpes-Côte d'Azur,1
205,1066,2018-07-01,Dentists,True,Île-de-France,13
206,1081,2018-07-01,GPs,True,Hauts-de-France,2
207,1082,2018-07-01,GPs,True,Nouvelle-Aquitaine,3
208,1083,2018-07-01,GPs,True,Occitanie,1
209,1084,2018-07-01,GPs,True,Île-de-France,2
210,1099,2018-07-01,Gynaecologists,True,Île-de-France,3
211,1112,2018-07-01,Midwives,True,Provence-Alpes-Côte d'Azur,1
212,1127,2018-07-01,Non-surgical specialists,True,Bretagne,1
213,1128,2018-07-01,Non-surgical specialists,True,Grand Est,6
214,1129,2018-07-01,Non-surgical specialists,True,Hauts-de-France,5
215,1130,2018-07-01,Non-surgical specialists,True,Normandie,5
216,1131,2018-07-01,Non-surgical specialists,True,Nouvelle-Aquitaine,1
217,1132,2018-07-01,Non-surgical specialists,True,Pays de la Loire,2
218,1133,2018-07-01,Non-surgical specialists,True,Provence-Alpes-Côte d'Azur,2
219,1134,2018-07-01,Non-surgical specialists,True,Île-de-France,3
220,1156,2018-07-01,Osteopaths,True,Auvergne-Rhône-Alpes,2
221,1157,2018-07-01,Osteopaths,True,Bretagne,2
222,1158,2018-07-01,Osteopaths,True,DOM-TOM,1
223,1159,2018-07-01,Osteopaths,True,Hauts-de-France,5
224,1160,2018-07-01,Osteopaths,True,Normandie,1
225,1161,2018-07-01,Osteopaths,True,Nouvelle-Aquitaine,1
226,1162,2018-07-01,Osteopaths,True,Provence-Alpes-Côte d'Azur,2
227,1163,2018-07-01,Osteopaths,True,Île-de-France,12
228,1177,2018-07-01,Other non-doctors,True,Occitanie,1
229,1178,2018-07-01,Other non-doctors,True,Provence-Alpes-Côte d'Azur,1
230,1179,2018-07-01,Other non-doctors,True,Île-de-France,11
231,1192,2018-07-01,Pediatricians,True,Grand Est,1
232,1205,2018-07-01,Physiotherapists,True,Auvergne-Rhône-Alpes,5
233,1206,2018-07-01,Physiotherapists,True,Bretagne,4
234,1207,2018-07-01,Physiotherapists,True,Occitanie,3
235,1208,2018-07-01,Physiotherapists,True,Île-de-France,18
236,1222,2018-07-01,Psychologists,True,Centre-Val de Loire,1
237,1223,2018-07-01,Psychologists,True,Occitanie,1
238,1224,2018-07-01,Psychologists,True,Île-de-France,4
239,1230,2018-07-01,Radiologists,True,Provence-Alpes-Côte d'Azur,10
240,1245,2018-07-01,Surgeons,True,Nouvelle-Aquitaine,1
241,1246,2018-07-01,Surgeons,True,Occitanie,2
242,1247,2018-07-01,Surgeons,True,Île-de-France,4
243,1259,2018-08-01,Anesthetists,True,Auvergne-Rhône-Alpes,8
244,1274,2018-08-01,Dentists,True,Auvergne-Rhône-Alpes,2
245,1275,2018-08-01,Dentists,True,Grand Est,1
246,1276,2018-08-01,Dentists,True,Hauts-de-France,1
247,1277,2018-08-01,Dentists,True,Île-de-France,1
248,1292,2018-08-01,GPs,True,Auvergne-Rhône-Alpes,4
249,1293,2018-08-01,GPs,True,Centre-Val de Loire,2
250,1294,2018-08-01,GPs,True,Grand Est,1
251,1295,2018-08-01,GPs,True,Hauts-de-France,4
252,1296,2018-08-01,GPs,True,Nouvelle-Aquitaine,2
253,1297,2018-08-01,GPs,True,Occitanie,1
254,1298,2018-08-01,GPs,True,Pays de la Loire,1
255,1299,2018-08-01,GPs,True,Île-de-France,1
256,1314,2018-08-01,Gynaecologists,True,Île-de-France,2
257,1327,2018-08-01,Midwives,True,Auvergne-Rhône-Alpes,2
258,1328,2018-08-01,Midwives,True,Île-de-France,4
259,1343,2018-08-01,Non-surgical specialists,True,Auvergne-Rhône-Alpes,1
260,1344,2018-08-01,Non-surgical specialists,True,Nouvelle-Aquitaine,1
261,1345,2018-08-01,Non-surgical specialists,True,Occitanie,1
262,1346,2018-08-01,Non-surgical specialists,True,Île-de-France,9
263,1368,2018-08-01,Osteopaths,True,Auvergne-Rhône-Alpes,7
264,1369,2018-08-01,Osteopaths,True,Grand Est,2
265,1370,2018-08-01,Osteopaths,True,Île-de-France,12
266,1384,2018-08-01,Other non-doctors,True,Normandie,14
267,1385,2018-08-01,Other non-doctors,True,Provence-Alpes-Côte d'Azur,1
268,1386,2018-08-01,Other non-doctors,True,Île-de-France,6
269,1411,2018-08-01,Physiotherapists,True,Auvergne-Rhône-Alpes,1
270,1412,2018-08-01,Physiotherapists,True,Hauts-de-France,1
271,1413,2018-08-01,Physiotherapists,True,Occitanie,2
272,1414,2018-08-01,Physiotherapists,True,Pays de la Loire,1
273,1415,2018-08-01,Physiotherapists,True,Provence-Alpes-Côte d'Azur,2
274,1416,2018-08-01,Physiotherapists,True,Île-de-France,5
275,1430,2018-08-01,Psychologists,True,Bourgogne-Franche-Comté,1
276,1431,2018-08-01,Psychologists,True,Occitanie,1
277,1432,2018-08-01,Psychologists,True,Île-de-France,3
278,1452,2018-08-01,Surgeons,True,Auvergne-Rhône-Alpes,3
279,1453,2018-08-01,Surgeons,True,Centre-Val de Loire,1
280,1454,2018-08-01,Surgeons,True,Occitanie,3
281,1455,2018-08-01,Surgeons,True,Pays de la Loire,2
282,1456,2018-08-01,Surgeons,True,Île-de-France,3
283,1468,2018-09-01,Anesthetists,True,Auvergne-Rhône-Alpes,8
284,1483,2018-09-01,Dentists,True,Auvergne-Rhône-Alpes,4
285,1484,2018-09-01,Dentists,True,Centre-Val de Loire,2
286,1485,2018-09-01,Dentists,True,Grand Est,2
287,1486,2018-09-01,Dentists,True,Hauts-de-France,1
288,1487,2018-09-01,Dentists,True,Nouvelle-Aquitaine,1
289,1488,2018-09-01,Dentists,True,Occitanie,4
290,1489,2018-09-01,Dentists,True,Pays de la Loire,2
291,1490,2018-09-01,Dentists,True,Île-de-France,30
292,1505,2018-09-01,GPs,True,Auvergne-Rhône-Alpes,2
293,1506,2018-09-01,GPs,True,Bourgogne-Franche-Comté,3
294,1507,2018-09-01,GPs,True,Grand Est,4
295,1508,2018-09-01,GPs,True,Nouvelle-Aquitaine,1
296,1509,2018-09-01,GPs,True,Occitanie,6
297,1510,2018-09-01,GPs,True,Île-de-France,3
298,1525,2018-09-01,Gynaecologists,True,Auvergne-Rhône-Alpes,2
299,1526,2018-09-01,Gynaecologists,True,Hauts-de-France,1
300,1527,2018-09-01,Gynaecologists,True,Normandie,1
301,1528,2018-09-01,Gynaecologists,True,Île-de-France,2
302,1542,2018-09-01,Midwives,True,Grand Est,2
303,1543,2018-09-01,Midwives,True,Occitanie,2
304,1558,2018-09-01,Non-surgical specialists,True,Auvergne-Rhône-Alpes,2
305,1559,2018-09-01,Non-surgical specialists,True,Centre-Val de Loire,4
306,1560,2018-09-01,Non-surgical specialists,True,Grand Est,2
307,1561,2018-09-01,Non-surgical specialists,True,Normandie,2
308,1562,2018-09-01,Non-surgical specialists,True,Nouvelle-Aquitaine,4
309,1563,2018-09-01,Non-surgical specialists,True,Occitanie,3
310,1564,2018-09-01,Non-surgical specialists,True,Pays de la Loire,2
311,1565,2018-09-01,Non-surgical specialists,True,Île-de-France,6
312,1588,2018-09-01,Osteopaths,True,Auvergne-Rhône-Alpes,6
313,1589,2018-09-01,Osteopaths,True,Bourgogne-Franche-Comté,1
314,1590,2018-09-01,Osteopaths,True,Normandie,1
315,1591,2018-09-01,Osteopaths,True,Occitanie,5
316,1592,2018-09-01,Osteopaths,True,Provence-Alpes-Côte d'Azur,4
317,1593,2018-09-01,Osteopaths,True,Île-de-France,12
318,1607,2018-09-01,Other non-doctors,True,Auvergne-Rhône-Alpes,1
319,1608,2018-09-01,Other non-doctors,True,Hauts-de-France,2
320,1609,2018-09-01,Other non-doctors,True,Occitanie,3
321,1610,2018-09-01,Other non-doctors,True,Île-de-France,5
322,1623,2018-09-01,Pediatricians,True,Bourgogne-Franche-Comté,1
323,1636,2018-09-01,Physiotherapists,True,Occitanie,3
324,1637,2018-09-01,Physiotherapists,True,Pays de la Loire,1
325,1638,2018-09-01,Physiotherapists,True,Provence-Alpes-Côte d'Azur,1
326,1639,2018-09-01,Physiotherapists,True,Île-de-France,5
327,1654,2018-09-01,Psychologists,True,Occitanie,1
328,1655,2018-09-01,Psychologists,True,Île-de-France,5
329,1676,2018-09-01,Surgeons,True,Bourgogne-Franche-Comté,1
330,1677,2018-09-01,Surgeons,True,Grand Est,2
331,1678,2018-09-01,Surgeons,True,Occitanie,1
332,1679,2018-09-01,Surgeons,True,Provence-Alpes-Côte d'Azur,2
333,1680,2018-09-01,Surgeons,True,Île-de-France,1
334,1706,2018-10-01,Dentists,True,Auvergne-Rhône-Alpes,5
335,1707,2018-10-01,Dentists,True,Grand Est,1
336,1708,2018-10-01,Dentists,True,Nouvelle-Aquitaine,2
337,1709,2018-10-01,Dentists,True,Occitanie,1
338,1710,2018-10-01,Dentists,True,Pays de la Loire,1
339,1711,2018-10-01,Dentists,True,Provence-Alpes-Côte d'Azur,2
340,1712,2018-10-01,Dentists,True,Île-de-France,14
341,1727,2018-10-01,GPs,True,Auvergne-Rhône-Alpes,2
342,1728,2018-10-01,GPs,True,DOM-TOM,2
343,1729,2018-10-01,GPs,True,Grand Est,2
344,1730,2018-10-01,GPs,True,Nouvelle-Aquitaine,1
345,1731,2018-10-01,GPs,True,Occitanie,1
346,1732,2018-10-01,GPs,True,Pays de la Loire,2
347,1733,2018-10-01,GPs,True,Provence-Alpes-Côte d'Azur,2
348,1734,2018-10-01,GPs,True,Île-de-France,8
349,1749,2018-10-01,Gynaecologists,True,Occitanie,1
350,1750,2018-10-01,Gynaecologists,True,Île-de-France,1
351,1764,2018-10-01,Midwives,True,Auvergne-Rhône-Alpes,3
352,1765,2018-10-01,Midwives,True,Île-de-France,1
353,1780,2018-10-01,Non-surgical specialists,True,Auvergne-Rhône-Alpes,2
354,1781,2018-10-01,Non-surgical specialists,True,Bretagne,3
355,1782,2018-10-01,Non-surgical specialists,True,Grand Est,1
356,1783,2018-10-01,Non-surgical specialists,True,Hauts-de-France,3
357,1784,2018-10-01,Non-surgical specialists,True,Occitanie,1
358,1785,2018-10-01,Non-surgical specialists,True,Provence-Alpes-Côte d'Azur,4
359,1786,2018-10-01,Non-surgical specialists,True,Île-de-France,4
360,1795,2018-10-01,Nurses,True,Île-de-France,2
361,1810,2018-10-01,Osteopaths,True,Auvergne-Rhône-Alpes,1
362,1811,2018-10-01,Osteopaths,True,Normandie,1
363,1812,2018-10-01,Osteopaths,True,Nouvelle-Aquitaine,4
364,1813,2018-10-01,Osteopaths,True,Occitanie,3
365,1814,2018-10-01,Osteopaths,True,Pays de la Loire,1
366,1815,2018-10-01,Osteopaths,True,Île-de-France,11
367,1829,2018-10-01,Other non-doctors,True,Auvergne-Rhône-Alpes,2
368,1830,2018-10-01,Other non-doctors,True,Nouvelle-Aquitaine,2
369,1831,2018-10-01,Other non-doctors,True,Occitanie,5
370,1832,2018-10-01,Other non-doctors,True,Provence-Alpes-Côte d'Azur,2
371,1833,2018-10-01,Other non-doctors,True,Île-de-France,8
372,1846,2018-10-01,Pediatricians,True,Île-de-France,4
373,1860,2018-10-01,Physiotherapists,True,Auvergne-Rhône-Alpes,1
374,1861,2018-10-01,Physiotherapists,True,Île-de-France,5
375,1876,2018-10-01,Psychologists,True,Auvergne-Rhône-Alpes,3
376,1877,2018-10-01,Psychologists,True,Hauts-de-France,1
377,1878,2018-10-01,Psychologists,True,Pays de la Loire,3
378,1879,2018-10-01,Psychologists,True,Île-de-France,20
379,1900,2018-10-01,Surgeons,True,Bretagne,3
380,1901,2018-10-01,Surgeons,True,Hauts-de-France,1
381,1902,2018-10-01,Surgeons,True,Occitanie,1
382,1903,2018-10-01,Surgeons,True,Île-de-France,6
383,1915,2018-11-01,Anesthetists,True,Île-de-France,1
384,1930,2018-11-01,Dentists,True,Auvergne-Rhône-Alpes,4
385,1931,2018-11-01,Dentists,True,Centre-Val de Loire,1
386,1932,2018-11-01,Dentists,True,Hauts-de-France,3
387,1933,2018-11-01,Dentists,True,Normandie,1
388,1934,2018-11-01,Dentists,True,Nouvelle-Aquitaine,3
389,1935,2018-11-01,Dentists,True,Occitanie,8
390,1936,2018-11-01,Dentists,True,Provence-Alpes-Côte d'Azur,1
391,1937,2018-11-01,Dentists,True,Île-de-France,18
392,1952,2018-11-01,GPs,True,Grand Est,2
393,1953,2018-11-01,GPs,True,Hauts-de-France,1
394,1954,2018-11-01,GPs,True,Pays de la Loire,16
395,1955,2018-11-01,GPs,True,Île-de-France,4
396,1970,2018-11-01,Gynaecologists,True,Occitanie,1
397,1971,2018-11-01,Gynaecologists,True,Île-de-France,2
398,1986,2018-11-01,Midwives,True,Provence-Alpes-Côte d'Azur,1
399,2001,2018-11-01,Non-surgical specialists,True,Bourgogne-Franche-Comté,2
400,2002,2018-11-01,Non-surgical specialists,True,Hauts-de-France,6
401,2003,2018-11-01,Non-surgical specialists,True,Nouvelle-Aquitaine,1
402,2004,2018-11-01,Non-surgical specialists,True,Occitanie,1
403,2005,2018-11-01,Non-surgical specialists,True,Provence-Alpes-Côte d'Azur,2
404,2006,2018-11-01,Non-surgical specialists,True,Île-de-France,2
405,2015,2018-11-01,Nurses,True,Île-de-France,2
406,2030,2018-11-01,Osteopaths,True,Auvergne-Rhône-Alpes,1
407,2031,2018-11-01,Osteopaths,True,Bourgogne-Franche-Comté,1
408,2032,2018-11-01,Osteopaths,True,Nouvelle-Aquitaine,1
409,2033,2018-11-01,Osteopaths,True,Île-de-France,4
410,2048,2018-11-01,Other non-doctors,True,Auvergne-Rhône-Alpes,1
411,2049,2018-11-01,Other non-doctors,True,Bourgogne-Franche-Comté,3
412,2050,2018-11-01,Other non-doctors,True,Bretagne,2
413,2051,2018-11-01,Other non-doctors,True,Centre-Val de Loire,1
414,2052,2018-11-01,Other non-doctors,True,Grand Est,1
415,2053,2018-11-01,Other non-doctors,True,Hauts-de-France,5
416,2054,2018-11-01,Other non-doctors,True,Nouvelle-Aquitaine,2
417,2055,2018-11-01,Other non-doctors,True,Occitanie,2
418,2056,2018-11-01,Other non-doctors,True,Pays de la Loire,5
419,2057,2018-11-01,Other non-doctors,True,Provence-Alpes-Côte d'Azur,1
420,2058,2018-11-01,Other non-doctors,True,Île-de-France,17
421,2071,2018-11-01,Pediatricians,True,Occitanie,1
422,2085,2018-11-01,Physiotherapists,True,Auvergne-Rhône-Alpes,3
423,2086,2018-11-01,Physiotherapists,True,Hauts-de-France,3
424,2087,2018-11-01,Physiotherapists,True,Pays de la Loire,2
425,2088,2018-11-01,Physiotherapists,True,Île-de-France,9
426,2103,2018-11-01,Psychologists,True,Auvergne-Rhône-Alpes,4
427,2104,2018-11-01,Psychologists,True,Occitanie,3
